Unidades territoriales;Indicadores de renta media;Periodo;Total
2900803 Alhaurín el Grande distrito 03;Renta media por hogar;2015;19.001
2900803001 Alhaurín el Grande sección 03001;Renta media por persona ;2017;6.725
2900803001 Alhaurín el Grande sección 03001;Renta media por persona ;2016;6.097
2900803001 Alhaurín el Grande sección 03001;Renta media por persona ;2015;5.881
2900803001 Alhaurín el Grande sección 03001;Renta media por hogar;2017;20.482
2900803001 Alhaurín el Grande sección 03001;Renta media por hogar;2016;18.797
2900803001 Alhaurín el Grande sección 03001;Renta media por hogar;2015;18.545
2900803002 Alhaurín el Grande sección 03002;Renta media por persona ;2017;7.445
2900803002 Alhaurín el Grande sección 03002;Renta media por persona ;2016;6.745
2900803002 Alhaurín el Grande sección 03002;Renta media por persona ;2015;6.539
2900803002 Alhaurín el Grande sección 03002;Renta media por hogar;2017;21.821
2900803002 Alhaurín el Grande sección 03002;Renta media por hogar;2016;20.353
2900803002 Alhaurín el Grande sección 03002;Renta media por hogar;2015;19.342
29009 Almáchar;Renta media por persona ;2017;7.066
29009 Almáchar;Renta media por persona ;2016;6.892
29009 Almáchar;Renta media por persona ;2015;6.572
29009 Almáchar;Renta media por hogar;2017;17.425
29009 Almáchar;Renta media por hogar;2016;17.042
29009 Almáchar;Renta media por hogar;2015;16.376
2900901 Almáchar distrito 01;Renta media por persona ;2017;7.066
2900901 Almáchar distrito 01;Renta media por persona ;2016;6.892
2900901 Almáchar distrito 01;Renta media por persona ;2015;6.572
2900901 Almáchar distrito 01;Renta media por hogar;2017;17.425
2900901 Almáchar distrito 01;Renta media por hogar;2016;17.042
2900901 Almáchar distrito 01;Renta media por hogar;2015;16.376
2900901001 Almáchar sección 01001;Renta media por persona ;2017;7.066
2900901001 Almáchar sección 01001;Renta media por persona ;2016;6.892
2900901001 Almáchar sección 01001;Renta media por persona ;2015;6.572
2900901001 Almáchar sección 01001;Renta media por hogar;2017;17.425
2900901001 Almáchar sección 01001;Renta media por hogar;2016;17.042
2900901001 Almáchar sección 01001;Renta media por hogar;2015;16.376
29010 Almargen;Renta media por persona ;2017;8.614
29010 Almargen;Renta media por persona ;2016;7.719
29010 Almargen;Renta media por persona ;2015;7.534
29010 Almargen;Renta media por hogar;2017;21.448
29010 Almargen;Renta media por hogar;2016;19.537
29010 Almargen;Renta media por hogar;2015;19.137
2901001 Almargen distrito 01;Renta media por persona ;2017;8.614
2901001 Almargen distrito 01;Renta media por persona ;2016;7.719
2901001 Almargen distrito 01;Renta media por persona ;2015;7.534
2901001 Almargen distrito 01;Renta media por hogar;2017;21.448
2901001 Almargen distrito 01;Renta media por hogar;2016;19.537
2901001 Almargen distrito 01;Renta media por hogar;2015;19.137
2901001001 Almargen sección 01001;Renta media por persona ;2017;8.494
2901001001 Almargen sección 01001;Renta media por persona ;2016;7.629
2901001001 Almargen sección 01001;Renta media por persona ;2015;7.335
2901001001 Almargen sección 01001;Renta media por hogar;2017;21.947
2901001001 Almargen sección 01001;Renta media por hogar;2016;20.113
2901001001 Almargen sección 01001;Renta media por hogar;2015;19.263
2901001002 Almargen sección 01002;Renta media por persona ;2017;8.855
2901001002 Almargen sección 01002;Renta media por persona ;2016;7.901
2901001002 Almargen sección 01002;Renta media por persona ;2015;7.928
2901001002 Almargen sección 01002;Renta media por hogar;2017;20.547
2901001002 Almargen sección 01002;Renta media por hogar;2016;18.501
