Unidades territoriales;Indicadores de renta media;Periodo;Total
1100402019 Algeciras sección 02019;Renta media por persona ;2015;11.226
1100402019 Algeciras sección 02019;Renta media por hogar;2017;32.080
1100402019 Algeciras sección 02019;Renta media por hogar;2016;32.474
1100402019 Algeciras sección 02019;Renta media por hogar;2015;32.250
1100402020 Algeciras sección 02020;Renta media por persona ;2017;12.460
1100402020 Algeciras sección 02020;Renta media por persona ;2016;12.215
1100402020 Algeciras sección 02020;Renta media por persona ;2015;12.135
1100402020 Algeciras sección 02020;Renta media por hogar;2017;37.460
1100402020 Algeciras sección 02020;Renta media por hogar;2016;36.063
1100402020 Algeciras sección 02020;Renta media por hogar;2015;34.979
1100403 Algeciras distrito 03;Renta media por persona ;2017;7.721
1100403 Algeciras distrito 03;Renta media por persona ;2016;7.516
1100403 Algeciras distrito 03;Renta media por persona ;2015;7.339
1100403 Algeciras distrito 03;Renta media por hogar;2017;22.212
1100403 Algeciras distrito 03;Renta media por hogar;2016;21.552
1100403 Algeciras distrito 03;Renta media por hogar;2015;20.383
1100403001 Algeciras sección 03001;Renta media por persona ;2017;10.714
1100403001 Algeciras sección 03001;Renta media por persona ;2016;10.809
1100403001 Algeciras sección 03001;Renta media por persona ;2015;10.448
1100403001 Algeciras sección 03001;Renta media por hogar;2017;28.427
1100403001 Algeciras sección 03001;Renta media por hogar;2016;28.789
1100403001 Algeciras sección 03001;Renta media por hogar;2015;26.723
1100403002 Algeciras sección 03002;Renta media por persona ;2017;8.626
1100403002 Algeciras sección 03002;Renta media por persona ;2016;8.389
1100403002 Algeciras sección 03002;Renta media por persona ;2015;8.295
1100403002 Algeciras sección 03002;Renta media por hogar;2017;23.870
1100403002 Algeciras sección 03002;Renta media por hogar;2016;22.519
1100403002 Algeciras sección 03002;Renta media por hogar;2015;21.388
1100403003 Algeciras sección 03003;Renta media por persona ;2017;12.000
1100403003 Algeciras sección 03003;Renta media por persona ;2016;11.696
1100403003 Algeciras sección 03003;Renta media por persona ;2015;11.478
1100403003 Algeciras sección 03003;Renta media por hogar;2017;29.714
1100403003 Algeciras sección 03003;Renta media por hogar;2016;28.395
1100403003 Algeciras sección 03003;Renta media por hogar;2015;27.167
1100403004 Algeciras sección 03004;Renta media por persona ;2017;6.510
1100403004 Algeciras sección 03004;Renta media por persona ;2016;6.100
1100403004 Algeciras sección 03004;Renta media por persona ;2015;5.998
1100403004 Algeciras sección 03004;Renta media por hogar;2017;19.698
1100403004 Algeciras sección 03004;Renta media por hogar;2016;19.407
1100403004 Algeciras sección 03004;Renta media por hogar;2015;18.027
1100403006 Algeciras sección 03006;Renta media por persona ;2017;4.911
1100403006 Algeciras sección 03006;Renta media por persona ;2016;4.822
1100403006 Algeciras sección 03006;Renta media por persona ;2015;5.127
1100403006 Algeciras sección 03006;Renta media por hogar;2017;13.962
1100403006 Algeciras sección 03006;Renta media por hogar;2016;13.359
1100403006 Algeciras sección 03006;Renta media por hogar;2015;13.551
1100403007 Algeciras sección 03007;Renta media por persona ;2017;5.623
1100403007 Algeciras sección 03007;Renta media por persona ;2016;5.379
1100403007 Algeciras sección 03007;Renta media por persona ;2015;5.304
1100403007 Algeciras sección 03007;Renta media por hogar;2017;16.758
1100403007 Algeciras sección 03007;Renta media por hogar;2016;16.072
1100403007 Algeciras sección 03007;Renta media por hogar;2015;16.048
1100403008 Algeciras sección 03008;Renta media por persona ;2017;4.104
1100403008 Algeciras sección 03008;Renta media por persona ;2016;3.946
1100403008 Algeciras sección 03008;Renta media por persona ;2015;3.776
1100403008 Algeciras sección 03008;Renta media por hogar;2017;12.313
1100403008 Algeciras sección 03008;Renta media por hogar;2016;11.939
1100403008 Algeciras sección 03008;Renta media por hogar;2015;11.093
1100403009 Algeciras sección 03009;Renta media por persona ;2017;7.282
1100403009 Algeciras sección 03009;Renta media por persona ;2016;7.021
