Unidades territoriales;Indicadores de renta media;Periodo;Total
2100503004 Almonte sección 03004;Renta media por persona ;2016;7.073
2100503004 Almonte sección 03004;Renta media por persona ;2015;6.905
2100503004 Almonte sección 03004;Renta media por hogar;2017;21.613
2100503004 Almonte sección 03004;Renta media por hogar;2016;21.649
2100503004 Almonte sección 03004;Renta media por hogar;2015;20.994
2100503005 Almonte sección 03005;Renta media por persona ;2017;9.122
2100503005 Almonte sección 03005;Renta media por persona ;2016;8.820
2100503005 Almonte sección 03005;Renta media por persona ;2015;8.713
2100503005 Almonte sección 03005;Renta media por hogar;2017;21.781
2100503005 Almonte sección 03005;Renta media por hogar;2016;19.736
2100503005 Almonte sección 03005;Renta media por hogar;2015;19.401
2100503006 Almonte sección 03006;Renta media por persona ;2017;5.827
2100503006 Almonte sección 03006;Renta media por persona ;2016;5.613
2100503006 Almonte sección 03006;Renta media por persona ;2015;5.424
2100503006 Almonte sección 03006;Renta media por hogar;2017;18.518
2100503006 Almonte sección 03006;Renta media por hogar;2016;17.938
2100503006 Almonte sección 03006;Renta media por hogar;2015;17.111
21006 Alosno;Renta media por persona ;2017;8.240
21006 Alosno;Renta media por persona ;2016;7.807
21006 Alosno;Renta media por persona ;2015;7.560
21006 Alosno;Renta media por hogar;2017;19.271
21006 Alosno;Renta media por hogar;2016;18.385
21006 Alosno;Renta media por hogar;2015;18.072
2100601 Alosno distrito 01;Renta media por persona ;2017;8.251
2100601 Alosno distrito 01;Renta media por persona ;2016;7.826
2100601 Alosno distrito 01;Renta media por persona ;2015;7.558
2100601 Alosno distrito 01;Renta media por hogar;2017;19.818
2100601 Alosno distrito 01;Renta media por hogar;2016;18.792
2100601 Alosno distrito 01;Renta media por hogar;2015;18.451
2100601001 Alosno sección 01001;Renta media por persona ;2017;8.540
2100601001 Alosno sección 01001;Renta media por persona ;2016;7.905
2100601001 Alosno sección 01001;Renta media por persona ;2015;7.735
2100601001 Alosno sección 01001;Renta media por hogar;2017;20.555
2100601001 Alosno sección 01001;Renta media por hogar;2016;19.141
2100601001 Alosno sección 01001;Renta media por hogar;2015;18.955
2100601002 Alosno sección 01002;Renta media por persona ;2017;8.021
