"codigo_muni","Provincia","Municipio","RMEs","RMEs_IC95_inf","RMEs_IC95_sup","Probs","Rank"
"03061","Alicante/Alacant","Daya Nueva",77.2421539961014,67.57,87.785,0,6062
"03062","Alicante/Alacant","Daya Vieja",73.4218323586745,60.3475,87.065,0,6784
"03063","Alicante/Alacant","Dénia",106.040058479532,103,109.3,1,901
"03064","Alicante/Alacant","Dolores",101.169093567251,94.4025,108.1375,0.61598440545809,1434
"03065","Alicante/Alacant","Elche/Elx",97.2520565302144,95.8525,98.61,0,2022
"03066","Alicante/Alacant","Elda",105.113645224172,102.7,107.7,1,968
"03067","Alicante/Alacant","Facheca",95.5592592592592,76.305,117.85,0.328460038986355,2294
"03068","Alicante/Alacant","Famorca",98.2133528265107,77.58375,123.3375,0.43859649122807,1875
"03069","Alicante/Alacant","Finestrat",81.1162573099415,73.63625,89.0875,0,5200
"03070","Alicante/Alacant","Formentera del Segura",94.2807699805068,84.44,103.3,0.111111111111111,2525
"03071","Alicante/Alacant","Gata de Gorgos",111.595906432749,103.625,119.1,1,486
"03072","Alicante/Alacant","Gaianes",97.0997660818713,81.85375,114,0.342105263157895,2044
"03073","Alicante/Alacant","Gorga",98.0911890838207,81.71625,117.0375,0.399610136452242,1892
"03074","Alicante/Alacant","Granja de Rocamora",80.612485380117,72.44375,89.665,0,5311
"03075","Alicante/Alacant","Castell de Guadalest, el",83.2044152046784,68.545,100.7375,0.0292397660818713,4745
"03076","Alicante/Alacant","Guardamar del Segura",81.7611208576998,77.41625,86.4,0,5066
"03077","Alicante/Alacant","Fondó de les Neus, el/Hondón de las Nieves",89.3201364522417,81.0225,98.675,0.0155945419103314,3441
"03078","Alicante/Alacant","Hondón de los Frailes",80.3769395711501,68.11375,92.53375,0.00194931773879142,5381
"03079","Alicante/Alacant","Ibi",92.3755360623782,88.45875,96.5375,0,2865
"03080","Alicante/Alacant","Jacarilla",79.5183820662768,69.3575,90.33875,0,5594
