Municipios;Sexo;Periodo;Total
21007 Aracena;Total;1998;""
21007 Aracena;Total;1997;""
21007 Aracena;Total;1996;""
21007 Aracena;Hombres;2019;3.984
21007 Aracena;Hombres;2018;3.959
21007 Aracena;Hombres;2017;3.970
21007 Aracena;Hombres;2016;3.907
21007 Aracena;Hombres;2015;3.935
21007 Aracena;Hombres;2014;3.899
21007 Aracena;Hombres;2013;3.908
21007 Aracena;Hombres;2012;3.851
21007 Aracena;Hombres;2011;3.866
21007 Aracena;Hombres;2010;3.845
21007 Aracena;Hombres;2009;3.757
21007 Aracena;Hombres;2008;3.684
21007 Aracena;Hombres;2007;3.635
21007 Aracena;Hombres;2006;3.557
21007 Aracena;Hombres;2005;3.497
21007 Aracena;Hombres;2004;3.414
21007 Aracena;Hombres;2003;3.404
21007 Aracena;Hombres;2002;3.293
21007 Aracena;Hombres;2001;3.254
21007 Aracena;Hombres;2000;3.287
21007 Aracena;Hombres;1999;3.274
21007 Aracena;Hombres;1998;3.279
21007 Aracena;Hombres;1997;""
21007 Aracena;Hombres;1996;3.292
21007 Aracena;Mujeres;2019;4.123
21007 Aracena;Mujeres;2018;4.081
21007 Aracena;Mujeres;2017;4.078
21007 Aracena;Mujeres;2016;4.022
21007 Aracena;Mujeres;2015;4.037
21007 Aracena;Mujeres;2014;3.960
21007 Aracena;Mujeres;2013;3.992
21007 Aracena;Mujeres;2012;3.963
21007 Aracena;Mujeres;2011;3.946
21007 Aracena;Mujeres;2010;3.894
21007 Aracena;Mujeres;2009;3.855
21007 Aracena;Mujeres;2008;3.784
21007 Aracena;Mujeres;2007;3.716
21007 Aracena;Mujeres;2006;3.671
21007 Aracena;Mujeres;2005;3.655
21007 Aracena;Mujeres;2004;3.565
21007 Aracena;Mujeres;2003;3.535
21007 Aracena;Mujeres;2002;3.427
21007 Aracena;Mujeres;2001;3.418
21007 Aracena;Mujeres;2000;3.469
21007 Aracena;Mujeres;1999;3.398
21007 Aracena;Mujeres;1998;3.404
21007 Aracena;Mujeres;1997;""
21007 Aracena;Mujeres;1996;3.416
21008 Aroche;Total;2019;3.073
21008 Aroche;Total;2018;""
21008 Aroche;Total;2017;""
21008 Aroche;Total;2016;""
21008 Aroche;Total;2015;""
21008 Aroche;Total;2014;""
21008 Aroche;Total;2013;""
21008 Aroche;Total;2012;""
21008 Aroche;Total;2011;""
21008 Aroche;Total;2010;""
21008 Aroche;Total;2009;""
21008 Aroche;Total;2008;""
21008 Aroche;Total;2007;""
21008 Aroche;Total;2006;""
21008 Aroche;Total;2005;""
21008 Aroche;Total;2004;""
21008 Aroche;Total;2003;""
21008 Aroche;Total;2002;""
21008 Aroche;Total;2001;""
21008 Aroche;Total;2000;""
21008 Aroche;Total;1999;""
21008 Aroche;Total;1998;""
21008 Aroche;Total;1997;""
21008 Aroche;Total;1996;""
21008 Aroche;Hombres;2019;1.528
21008 Aroche;Hombres;2018;1.553
21008 Aroche;Hombres;2017;1.573
21008 Aroche;Hombres;2016;1.586
21008 Aroche;Hombres;2015;1.599
21008 Aroche;Hombres;2014;1.605
21008 Aroche;Hombres;2013;1.614
21008 Aroche;Hombres;2012;1.624
21008 Aroche;Hombres;2011;1.641
21008 Aroche;Hombres;2010;1.596
21008 Aroche;Hombres;2009;1.539
21008 Aroche;Hombres;2008;1.587
21008 Aroche;Hombres;2007;1.632
21008 Aroche;Hombres;2006;1.577
21008 Aroche;Hombres;2005;1.634
21008 Aroche;Hombres;2004;1.656
21008 Aroche;Hombres;2003;1.679
