Unidades territoriales;Indicadores de renta media;Periodo;Total
1801201 Algarinejo distrito 01;Renta media por hogar;2017;16.882
1801201 Algarinejo distrito 01;Renta media por hogar;2016;16.738
1801201 Algarinejo distrito 01;Renta media por hogar;2015;16.465
1801201001 Algarinejo sección 01001;Renta media por persona ;2017;7.862
1801201001 Algarinejo sección 01001;Renta media por persona ;2016;7.666
1801201001 Algarinejo sección 01001;Renta media por persona ;2015;7.547
1801201001 Algarinejo sección 01001;Renta media por hogar;2017;17.081
1801201001 Algarinejo sección 01001;Renta media por hogar;2016;16.705
1801201001 Algarinejo sección 01001;Renta media por hogar;2015;16.524
1801201002 Algarinejo sección 01002;Renta media por persona ;2017;9.060
1801201002 Algarinejo sección 01002;Renta media por persona ;2016;8.888
1801201002 Algarinejo sección 01002;Renta media por persona ;2015;8.882
1801201002 Algarinejo sección 01002;Renta media por hogar;2017;19.503
1801201002 Algarinejo sección 01002;Renta media por hogar;2016;19.236
1801201002 Algarinejo sección 01002;Renta media por hogar;2015;19.408
1801201003 Algarinejo sección 01003;Renta media por persona ;2017;7.758
1801201003 Algarinejo sección 01003;Renta media por persona ;2016;7.677
1801201003 Algarinejo sección 01003;Renta media por persona ;2015;7.297
1801201003 Algarinejo sección 01003;Renta media por hogar;2017;15.502
1801201003 Algarinejo sección 01003;Renta media por hogar;2016;15.565
1801201003 Algarinejo sección 01003;Renta media por hogar;2015;15.458
1801201004 Algarinejo sección 01004;Renta media por persona ;2017;""
1801201004 Algarinejo sección 01004;Renta media por persona ;2016;""
1801201004 Algarinejo sección 01004;Renta media por persona ;2015;7.642
1801201004 Algarinejo sección 01004;Renta media por hogar;2017;""
1801201004 Algarinejo sección 01004;Renta media por hogar;2016;""
1801201004 Algarinejo sección 01004;Renta media por hogar;2015;14.642
18013 Alhama de Granada;Renta media por persona ;2017;7.707
18013 Alhama de Granada;Renta media por persona ;2016;7.233
18013 Alhama de Granada;Renta media por persona ;2015;7.172
18013 Alhama de Granada;Renta media por hogar;2017;20.424
18013 Alhama de Granada;Renta media por hogar;2016;19.270
18013 Alhama de Granada;Renta media por hogar;2015;19.114
1801301 Alhama de Granada distrito 01;Renta media por persona ;2017;7.707
1801301 Alhama de Granada distrito 01;Renta media por persona ;2016;7.233
1801301 Alhama de Granada distrito 01;Renta media por persona ;2015;7.172
1801301 Alhama de Granada distrito 01;Renta media por hogar;2017;20.424
1801301 Alhama de Granada distrito 01;Renta media por hogar;2016;19.270
1801301 Alhama de Granada distrito 01;Renta media por hogar;2015;19.114
1801301001 Alhama de Granada sección 01001;Renta media por persona ;2017;7.151
1801301001 Alhama de Granada sección 01001;Renta media por persona ;2016;6.424
1801301001 Alhama de Granada sección 01001;Renta media por persona ;2015;6.305
1801301001 Alhama de Granada sección 01001;Renta media por hogar;2017;16.886
1801301001 Alhama de Granada sección 01001;Renta media por hogar;2016;15.440
1801301001 Alhama de Granada sección 01001;Renta media por hogar;2015;15.271
1801301002 Alhama de Granada sección 01002;Renta media por persona ;2017;8.973
1801301002 Alhama de Granada sección 01002;Renta media por persona ;2016;8.447
1801301002 Alhama de Granada sección 01002;Renta media por persona ;2015;8.415
1801301002 Alhama de Granada sección 01002;Renta media por hogar;2017;22.863
1801301002 Alhama de Granada sección 01002;Renta media por hogar;2016;21.854
1801301002 Alhama de Granada sección 01002;Renta media por hogar;2015;21.980
1801301003 Alhama de Granada sección 01003;Renta media por persona ;2017;7.526
1801301003 Alhama de Granada sección 01003;Renta media por persona ;2016;7.120
1801301003 Alhama de Granada sección 01003;Renta media por persona ;2015;7.402
1801301003 Alhama de Granada sección 01003;Renta media por hogar;2017;20.533
1801301003 Alhama de Granada sección 01003;Renta media por hogar;2016;19.442
1801301003 Alhama de Granada sección 01003;Renta media por hogar;2015;19.724
1801301004 Alhama de Granada sección 01004;Renta media por persona ;2017;7.874
1801301004 Alhama de Granada sección 01004;Renta media por persona ;2016;7.497
1801301004 Alhama de Granada sección 01004;Renta media por persona ;2015;7.372
1801301004 Alhama de Granada sección 01004;Renta media por hogar;2017;21.641
1801301004 Alhama de Granada sección 01004;Renta media por hogar;2016;20.602
1801301004 Alhama de Granada sección 01004;Renta media por hogar;2015;20.231
1801301005 Alhama de Granada sección 01005;Renta media por persona ;2017;7.036
1801301005 Alhama de Granada sección 01005;Renta media por persona ;2016;6.524
1801301005 Alhama de Granada sección 01005;Renta media por persona ;2015;6.360
1801301005 Alhama de Granada sección 01005;Renta media por hogar;2017;19.117
1801301005 Alhama de Granada sección 01005;Renta media por hogar;2016;17.840
1801301005 Alhama de Granada sección 01005;Renta media por hogar;2015;17.538
18014 Alhendín;Renta media por persona ;2017;9.049
18014 Alhendín;Renta media por persona ;2016;8.753
18014 Alhendín;Renta media por persona ;2015;8.490
18014 Alhendín;Renta media por hogar;2017;23.924
18014 Alhendín;Renta media por hogar;2016;23.142
18014 Alhendín;Renta media por hogar;2015;22.446
1801401 Alhendín distrito 01;Renta media por persona ;2017;9.049
1801401 Alhendín distrito 01;Renta media por persona ;2016;8.753
1801401 Alhendín distrito 01;Renta media por persona ;2015;8.490
1801401 Alhendín distrito 01;Renta media por hogar;2017;23.924
1801401 Alhendín distrito 01;Renta media por hogar;2016;23.142
1801401 Alhendín distrito 01;Renta media por hogar;2015;22.446
1801401001 Alhendín sección 01001;Renta media por persona ;2017;8.602
1801401001 Alhendín sección 01001;Renta media por persona ;2016;8.242
1801401001 Alhendín sección 01001;Renta media por persona ;2015;7.912
1801401001 Alhendín sección 01001;Renta media por hogar;2017;23.179
1801401001 Alhendín sección 01001;Renta media por hogar;2016;22.489
1801401001 Alhendín sección 01001;Renta media por hogar;2015;21.721
1801401002 Alhendín sección 01002;Renta media por persona ;2017;7.771
1801401002 Alhendín sección 01002;Renta media por persona ;2016;7.469
1801401002 Alhendín sección 01002;Renta media por persona ;2015;7.356
1801401002 Alhendín sección 01002;Renta media por hogar;2017;20.547
1801401002 Alhendín sección 01002;Renta media por hogar;2016;19.821
1801401002 Alhendín sección 01002;Renta media por hogar;2015;19.542
1801401003 Alhendín sección 01003;Renta media por persona ;2017;9.354
1801401003 Alhendín sección 01003;Renta media por persona ;2016;9.212
1801401003 Alhendín sección 01003;Renta media por persona ;2015;8.872
1801401003 Alhendín sección 01003;Renta media por hogar;2017;27.207
1801401003 Alhendín sección 01003;Renta media por hogar;2016;26.981
1801401003 Alhendín sección 01003;Renta media por hogar;2015;25.772
1801401004 Alhendín sección 01004;Renta media por persona ;2017;8.853
1801401004 Alhendín sección 01004;Renta media por persona ;2016;9.506
1801401004 Alhendín sección 01004;Renta media por persona ;2015;9.304
1801401004 Alhendín sección 01004;Renta media por hogar;2017;25.220
1801401004 Alhendín sección 01004;Renta media por hogar;2016;22.577
1801401004 Alhendín sección 01004;Renta media por hogar;2015;22.123
18015 Alicún de Ortega;Renta media por persona ;2017;7.580
