Unidades territoriales;Indicadores de renta media;Periodo;Total
0400701 Alcolea distrito 01;Renta media por persona ;2016;7.958
0400701 Alcolea distrito 01;Renta media por persona ;2015;7.876
0400701 Alcolea distrito 01;Renta media por hogar;2017;15.100
0400701 Alcolea distrito 01;Renta media por hogar;2016;15.743
0400701 Alcolea distrito 01;Renta media por hogar;2015;15.970
0400701001 Alcolea sección 01001;Renta media por persona ;2017;7.773
0400701001 Alcolea sección 01001;Renta media por persona ;2016;7.958
0400701001 Alcolea sección 01001;Renta media por persona ;2015;7.876
0400701001 Alcolea sección 01001;Renta media por hogar;2017;15.100
0400701001 Alcolea sección 01001;Renta media por hogar;2016;15.743
0400701001 Alcolea sección 01001;Renta media por hogar;2015;15.970
04008 Alcóntar;Renta media por persona ;2017;10.239
04008 Alcóntar;Renta media por persona ;2016;9.391
04008 Alcóntar;Renta media por persona ;2015;9.261
04008 Alcóntar;Renta media por hogar;2017;22.729
04008 Alcóntar;Renta media por hogar;2016;21.427
04008 Alcóntar;Renta media por hogar;2015;21.261
0400801 Alcóntar distrito 01;Renta media por persona ;2017;10.239
0400801 Alcóntar distrito 01;Renta media por persona ;2016;9.391
0400801 Alcóntar distrito 01;Renta media por persona ;2015;9.261
0400801 Alcóntar distrito 01;Renta media por hogar;2017;22.729
0400801 Alcóntar distrito 01;Renta media por hogar;2016;21.427
0400801 Alcóntar distrito 01;Renta media por hogar;2015;21.261
0400801001 Alcóntar sección 01001;Renta media por persona ;2017;10.239
0400801001 Alcóntar sección 01001;Renta media por persona ;2016;9.391
0400801001 Alcóntar sección 01001;Renta media por persona ;2015;9.261
0400801001 Alcóntar sección 01001;Renta media por hogar;2017;22.729
0400801001 Alcóntar sección 01001;Renta media por hogar;2016;21.427
0400801001 Alcóntar sección 01001;Renta media por hogar;2015;21.261
04009 Alcudia de Monteagud;Renta media por persona ;2017;12.847
04009 Alcudia de Monteagud;Renta media por persona ;2016;12.143
04009 Alcudia de Monteagud;Renta media por persona ;2015;11.461
04009 Alcudia de Monteagud;Renta media por hogar;2017;24.666
04009 Alcudia de Monteagud;Renta media por hogar;2016;24.123
04009 Alcudia de Monteagud;Renta media por hogar;2015;22.776
0400901 Alcudia de Monteagud distrito 01;Renta media por persona ;2017;12.847
0400901 Alcudia de Monteagud distrito 01;Renta media por persona ;2016;12.143
0400901 Alcudia de Monteagud distrito 01;Renta media por persona ;2015;11.461
0400901 Alcudia de Monteagud distrito 01;Renta media por hogar;2017;24.666
0400901 Alcudia de Monteagud distrito 01;Renta media por hogar;2016;24.123
0400901 Alcudia de Monteagud distrito 01;Renta media por hogar;2015;22.776
0400901001 Alcudia de Monteagud sección 01001;Renta media por persona ;2017;12.847
0400901001 Alcudia de Monteagud sección 01001;Renta media por persona ;2016;12.143
0400901001 Alcudia de Monteagud sección 01001;Renta media por persona ;2015;11.461
0400901001 Alcudia de Monteagud sección 01001;Renta media por hogar;2017;24.666
0400901001 Alcudia de Monteagud sección 01001;Renta media por hogar;2016;24.123
0400901001 Alcudia de Monteagud sección 01001;Renta media por hogar;2015;22.776
04010 Alhabia;Renta media por persona ;2017;7.743
04010 Alhabia;Renta media por persona ;2016;7.319
04010 Alhabia;Renta media por persona ;2015;7.084
04010 Alhabia;Renta media por hogar;2017;16.343
04010 Alhabia;Renta media por hogar;2016;15.485
04010 Alhabia;Renta media por hogar;2015;15.352
0401001 Alhabia distrito 01;Renta media por persona ;2017;7.743
0401001 Alhabia distrito 01;Renta media por persona ;2016;7.319
0401001 Alhabia distrito 01;Renta media por persona ;2015;7.084
0401001 Alhabia distrito 01;Renta media por hogar;2017;16.343
0401001 Alhabia distrito 01;Renta media por hogar;2016;15.485
0401001 Alhabia distrito 01;Renta media por hogar;2015;15.352
0401001001 Alhabia sección 01001;Renta media por persona ;2017;7.743
0401001001 Alhabia sección 01001;Renta media por persona ;2016;7.319
0401001001 Alhabia sección 01001;Renta media por persona ;2015;7.084
0401001001 Alhabia sección 01001;Renta media por hogar;2017;16.343
0401001001 Alhabia sección 01001;Renta media por hogar;2016;15.485
0401001001 Alhabia sección 01001;Renta media por hogar;2015;15.352
04011 Alhama de Almería;Renta media por persona ;2017;7.923
04011 Alhama de Almería;Renta media por persona ;2016;7.397
04011 Alhama de Almería;Renta media por persona ;2015;7.424
04011 Alhama de Almería;Renta media por hogar;2017;19.687
04011 Alhama de Almería;Renta media por hogar;2016;18.719
04011 Alhama de Almería;Renta media por hogar;2015;18.608
0401101 Alhama de Almería distrito 01;Renta media por persona ;2017;7.923
0401101 Alhama de Almería distrito 01;Renta media por persona ;2016;7.397
0401101 Alhama de Almería distrito 01;Renta media por persona ;2015;7.424
0401101 Alhama de Almería distrito 01;Renta media por hogar;2017;19.687
0401101 Alhama de Almería distrito 01;Renta media por hogar;2016;18.719
0401101 Alhama de Almería distrito 01;Renta media por hogar;2015;18.608
0401101001 Alhama de Almería sección 01001;Renta media por persona ;2017;8.070
0401101001 Alhama de Almería sección 01001;Renta media por persona ;2016;7.573
0401101001 Alhama de Almería sección 01001;Renta media por persona ;2015;7.563
0401101001 Alhama de Almería sección 01001;Renta media por hogar;2017;20.257
0401101001 Alhama de Almería sección 01001;Renta media por hogar;2016;19.275
0401101001 Alhama de Almería sección 01001;Renta media por hogar;2015;19.051
0401101002 Alhama de Almería sección 01002;Renta media por persona ;2017;7.634
0401101002 Alhama de Almería sección 01002;Renta media por persona ;2016;7.047
0401101002 Alhama de Almería sección 01002;Renta media por persona ;2015;7.154
0401101002 Alhama de Almería sección 01002;Renta media por hogar;2017;18.598
0401101002 Alhama de Almería sección 01002;Renta media por hogar;2016;17.631
0401101002 Alhama de Almería sección 01002;Renta media por hogar;2015;17.764
04012 Alicún;Renta media por persona ;2017;9.104
04012 Alicún;Renta media por persona ;2016;8.924
04012 Alicún;Renta media por persona ;2015;9.146
04012 Alicún;Renta media por hogar;2017;17.364
04012 Alicún;Renta media por hogar;2016;17.131
04012 Alicún;Renta media por hogar;2015;18.045
0401201 Alicún distrito 01;Renta media por persona ;2017;9.104
0401201 Alicún distrito 01;Renta media por persona ;2016;8.924
0401201 Alicún distrito 01;Renta media por persona ;2015;9.146
0401201 Alicún distrito 01;Renta media por hogar;2017;17.364
0401201 Alicún distrito 01;Renta media por hogar;2016;17.131
0401201 Alicún distrito 01;Renta media por hogar;2015;18.045
0401201001 Alicún sección 01001;Renta media por persona ;2017;9.104
0401201001 Alicún sección 01001;Renta media por persona ;2016;8.924
0401201001 Alicún sección 01001;Renta media por persona ;2015;9.146
0401201001 Alicún sección 01001;Renta media por hogar;2017;17.364
0401201001 Alicún sección 01001;Renta media por hogar;2016;17.131
0401201001 Alicún sección 01001;Renta media por hogar;2015;18.045
04013 Almería;Renta media por persona ;2017;9.968
04013 Almería;Renta media por persona ;2016;9.724
04013 Almería;Renta media por persona ;2015;9.495
04013 Almería;Renta media por hogar;2017;27.090
04013 Almería;Renta media por hogar;2016;26.510
04013 Almería;Renta media por hogar;2015;25.863
0401301 Almería distrito 01;Renta media por persona ;2017;9.147
0401301 Almería distrito 01;Renta media por persona ;2016;9.120
0401301 Almería distrito 01;Renta media por persona ;2015;8.713
0401301 Almería distrito 01;Renta media por hogar;2017;22.322
0401301 Almería distrito 01;Renta media por hogar;2016;22.400
0401301 Almería distrito 01;Renta media por hogar;2015;21.490
0401301001 Almería sección 01001;Renta media por persona ;2017;9.033
0401301001 Almería sección 01001;Renta media por persona ;2016;9.241
0401301001 Almería sección 01001;Renta media por persona ;2015;8.631
0401301001 Almería sección 01001;Renta media por hogar;2017;21.969
0401301001 Almería sección 01001;Renta media por hogar;2016;22.457
0401301001 Almería sección 01001;Renta media por hogar;2015;21.141
0401301003 Almería sección 01003;Renta media por persona ;2017;9.314
0401301003 Almería sección 01003;Renta media por persona ;2016;8.951
0401301003 Almería sección 01003;Renta media por persona ;2015;8.833
0401301003 Almería sección 01003;Renta media por hogar;2017;22.844
0401301003 Almería sección 01003;Renta media por hogar;2016;22.317
0401301003 Almería sección 01003;Renta media por hogar;2015;22.015
0401302 Almería distrito 02;Renta media por persona ;2017;16.001
0401302 Almería distrito 02;Renta media por persona ;2016;15.459
0401302 Almería distrito 02;Renta media por persona ;2015;15.001
0401302 Almería distrito 02;Renta media por hogar;2017;38.416
0401302 Almería distrito 02;Renta media por hogar;2016;37.646
0401302 Almería distrito 02;Renta media por hogar;2015;36.964
0401302001 Almería sección 02001;Renta media por persona ;2017;10.861
0401302001 Almería sección 02001;Renta media por persona ;2016;10.581
0401302001 Almería sección 02001;Renta media por persona ;2015;10.171
0401302001 Almería sección 02001;Renta media por hogar;2017;25.437
0401302001 Almería sección 02001;Renta media por hogar;2016;25.431
0401302001 Almería sección 02001;Renta media por hogar;2015;24.550
0401302002 Almería sección 02002;Renta media por persona ;2017;15.919
0401302002 Almería sección 02002;Renta media por persona ;2016;15.555
